1,0.927866,-0.0243145,-0.357888,0.101931,6.25685,0.726208,3.1979,1,1180200
2,0.954055,-0.0294883,-0.291407,0.0631729,6.0855,-0.0323319,1.58523,1,1180201
3,0.985221,0.00169293,-0.168271,0.0319711,4.64093,0.215537,1.72212,1,1180202
4,0.989235,0.0309477,-0.137457,0.0395255,4.11624,0.262454,1.43967,1,1180203
5,0.99555,0.0156558,-0.0875151,0.031252,3.58231,0.221545,0.949809,1,1180204
6,0.998372,0.019259,-0.0528693,0.00931007,2.99445,0.0614033,0.620602,1,1180205
7,0.997973,0.0162122,-0.059591,0.0153643,2.35452,0.10762,0.617281,1,1180206
8,0.998692,0.00722174,-0.0483555,0.0149545,1.83089,0.126859,0.554942,1,1180207
9,0.99945,0.0123768,-0.0307094,0.00184003,1.26012,0.10183,0.513308,1,1180208
10,0.999964,-0.00197936,-0.00765696,0.00301004,0.662947,0.137101,0.470111,1,1180209
11,1,0.000472864,-0.000356082,1.80E-05,0.0782053,0.117897,0.389205,1,1180210
12,0.999233,0.00604392,0.0385728,-0.00299613,-0.536192,0.101245,0.337987,1,1180211
13,0.998687,0.00258861,0.0504493,-0.00852272,-1.18512,0.118593,0.372549,1,1180212
14,0.999254,0.0256802,0.0287716,-0.0020724,-1.82754,0.0822638,0.306586,1,1180213
15,0.991587,0.00900739,0.125143,-0.0318218,-2.39739,0.209123,0.676797,1,1180214
16,0.990221,0.0134432,0.137091,-0.0221043,-3.01907,0.168829,0.821011,1,1180215
17,0.985329,0.0074106,0.165512,-0.0409499,-3.59716,0.300234,1.04982,1,1180216
18,0.972961,-0.0030718,0.22726,-0.0411092,-4.1115,0.301249,1.55101,1,1180217
19,0.955693,-0.0115946,0.287289,-0.0631072,-4.48983,0.513621,2.1641,1,1180218
20,0.935756,0.00385666,0.344133,-0.076934,-4.69126,0.704754,3.08614,1,1180219
21,0.921551,0.00754928,0.374189,-0.103295,-5.03064,1.12313,3.88315,1,1180220
22,0.91892,0.0162316,0.384806,-0.0851289,-5.47939,0.940648,4.35124,1,1180221
